FCID	Date	Machine	Read Type	Path
HH7GWBBXX	03-28-2017	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/03-28-2017_HiSeq_DIP_flowcellA_HH7GWBBXX_SR.txt
ACXX	04-22-2014	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/04-22-2014_HiSeq_Fish_flowcellB_ACXX_SR.txt
HLFLJBCXX	09-13-2018	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/09-13-2018_HiSeq_ChIP_flowcellA_HLFLJBCXX_PE_Rapid.txt
H7KE4ADXX	12-06-2013	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/12-06-2013_HiSeq_ChIP_flowcellA_H7KE4ADXX_SR_Rapid.txt
C4JWGACXX	05-08-2014	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/05-08-2014_HiSeq_Fish_flowcellB_C4JWGACXX_SR.txt
D1A1MACXX	10-31-2012	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/10-31-2012_HiSeq_Fish_flowcellB_D1A1MACXX_SR.txt
H9PJGADXX	10-03-2014	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/10-03-2014_HiSeq_ChIP_flowcellA_H9PJGADXX_SR_Rapid.txt
81CN8AAXX	01-31-2011	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/01-31-2011_HiSeq_flowcellA_81CN8AAXX_PE.txt
H5LVKBBXX	02-08-2016	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/02-08-2016_HiSeq_Dip_flowcellB_H5LVKBBXX_SR.txt
HWYVHBCXX	08-02-2016	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/08-02-2016_HiSeq_ChIP_flowcellB_HWYVHBCXX_PE_Rapid.txt
HNN7KBCXY	11-16-2017	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/11-16-2017_HiSeq_ChIP_flowcellB_HNN7KBCXY_SR_Rapid.txt
435UTAAXX	12-21-2009	N/A	SR	/mnt/tscc/bil022/RenSix/txt/12-21-2009_Sarah_flowcell_435UTAAXX_SR.txt
HMK3CBCXX	07-05-2017	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/07-05-2017_HiSeq_ChIP_flowcellA_HMK3CBCXX_PE_Rapid.txt
4366VAAXX	12-28-2009	N/A	SR	/mnt/tscc/bil022/RenSix/txt/12-28-2009_Sarah_flowcell_4366VAAXX_SR.txt
D2BKKACXX	12-16-2013	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/12-16-2013_HiSeq_Fish_flowcellB_D2BKKACXX_PE.txt
43400AAXX	01-14-2010	N/A	SR	/mnt/tscc/bil022/RenSix/txt/01-14-2010_Peter_flowcell_43400AAXX_SR.txt
204NMABXX	08-03-2010	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/08-03-2010_HiSeq_flowcell_204NMABXX_SR.txt
AAAKTWNM5	08-12-2020	NextSeq2000	PE	/mnt/tscc/bil022/RenSix/txt/08-12-2020_NextSeq2000_flowcell__PE_P2.txt
42B0PAAXX	06-10-2009	N/A	SR	/mnt/tscc/bil022/RenSix/txt/06-10-2009_Peter_flowcell_42B0PAAXX_SR.txt
HCHJ7BCXX	11-04-2015	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/11-04-2015_HiSeq_ChIP_flowcellB_HCHJ7BCXX_PE_Rapid.txt
D2GM6ACXX	10-14-2013	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/10-14-2013_HiSeq_Fish_flowcellA_D2GM6ACXX_SR.txt
HW2WMBCXX	11-09-2017	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/11-09-2017_HiSeq_ChIP_flowcellA_HW2WMBCXX_PE_Rapid.txt
D0JCMACXX	03-07-2013	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/03-07-2013_HiSeq_Fish_flowcellB_D0JCMACXX_SR.txt
HAM2DADXX	11-10-2014	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/11-10-2014_HiSeq_ChIP_flowcellA_HAM2DADXX_SR_Rapid.txt
C1APFACXX	03-19-2013	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/03-19-2013_HiSeq_Fish_flowcellB_C1APFACXX_SR.txt
C3LLGACXX	02-24-2014	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/02-24-2014_HiSeq_Fish_flowcellB_C3LLGACXX_PE.txt
D10K2ACXX	06-07-2012	HiSeq	SR	/mnt/tscc/bil022/RenSix/txt/06-07-2012_HiSeq_Fish_flowcellB_D10K2ACXX_SR.txt
42J8EAAXX	08-20-2009	N/A	SR	/mnt/tscc/bil022/RenSix/txt/08-20-2009_Sarah_flowcell_42J8EAAXX_SR.txt
D06PVABXX	09-29-2011	HiSeq	PE	/mnt/tscc/bil022/RenSix/txt/09-29-2011_HiSeq_flowcellB_D06PVABXX_PE.txt
